scheme_code,months,years,total_invested,final_value,gain,cagr_percent
100033,132,11.0,132000.0,257959.2479557669,125959.24795576691,6.280226205246842
100034,132,11.0,132000.0,166722.58224277772,34722.58224277772,2.145689698296782
100037,132,11.0,132000.0,133845.86276322952,1845.8627632295247,0.12632460786250466
100038,132,11.0,132000.0,190003.6096309256,58003.60963092561,3.3667162967640163
100041,132,11.0,132000.0,131994.44247276336,-5.557527236640453,-0.000382757134753664
100042,132,11.0,132000.0,184385.71212696194,52385.71212696194,3.085067019448884
100043,132,11.0,132000.0,184385.82711571385,52385.82711571385,3.085072863729277
100044,132,11.0,132000.0,131993.34487270005,-6.655127299949527,-0.000458352604759682
100046,132,11.0,132000.0,131994.56389438323,-5.436105616769055,-0.00037439444765530183
100047,132,11.0,132000.0,184384.2972141168,52384.297214116814,3.0849951065142767
100048,132,11.0,132000.0,132116.78298396344,116.78298396343598,0.008039672635229422
100051,132,11.0,132000.0,131992.64458606832,-7.35541393168387,-0.0005065840385953813
100057,132,11.0,132000.0,133214.7460972182,1214.746097218187,0.08331228385596301
100058,132,11.0,132000.0,188784.33235286403,56784.33235286403,3.3062381067523017
100063,132,11.0,132000.0,180537.37105917005,48537.37105917005,2.8875952197879418
100064,132,11.0,132000.0,216218.75756483976,84218.75756483976,4.588415877981844
100067,100,8.333333333333334,100000.0,105909.44848372186,5909.448483721862,0.6913502694471996
100068,87,7.25,87000.0,113177.94900624703,26177.94900624703,3.694947348905786
100077,132,11.0,132000.0,139442.9240953872,7442.924095387192,0.4999131320477801
100078,132,11.0,132000.0,185877.36869854445,53877.36869854445,3.1606028344750126
100079,132,11.0,132000.0,134185.50319237728,2185.5031923772767,0.14939577732802078
100080,132,11.0,132000.0,160967.11482535506,28967.114825355064,1.819983139024317
100081,132,11.0,132000.0,278139.91791386245,146139.91791386245,7.01047905351555
100082,132,11.0,132000.0,156895.56536613608,24895.565366136085,1.5831139312830533
100084,132,11.0,132000.0,194521.66452596997,62521.66452596997,3.587785694239365
100085,132,11.0,132000.0,134126.02849518124,2126.0284951812355,0.14535960406980575
